date,open,high,low,close,volume
2016-01-01,102.89,103.68,102.05,102.7,4507190
2016-01-04,102.3,106.1,101.83,104.47,12127750
2016-01-05,105.61,109.14,105.23,108.31,14205180
2016-01-06,108.3,109.7,105.2,105.82,8015450
2016-01-07,103.53,104.6,102.26,102.64,5304630
2016-01-08,103.49,104.77,102.6,104.12,7315670
2016-01-11,102.91,103.27,100.83,101.97,5261390
2016-01-12,102.49,103.02,100.25,101.28,5909770
2016-01-13,101.95,102.49,98.03,100.37,10572110
2016-01-14,98.7,101.8,97.43,100.35,7062470
2016-01-15,101.1,101.29,96.75,97.25,5723680
2016-01-18,97.36,101.8,95.3,99.1,9450200
2016-01-19,99.7,101.0,98.29,99.86,6397290
2016-01-20,98.26,104.49,97.62,102.39,7868100
2016-01-21,103.56,104.44,99.7,102.54,9454590
2016-01-22,103.6,107.35,102.92,106.8,8586730
2016-01-25,107.0,111.48,106.01,110.73,14860730
2016-01-27,110.5,112.7,110.43,112.13,15625610
2016-01-28,110.75,111.21,108.8,109.22,16934750
2016-01-29,108.6,110.19,104.24,105.71,11992530
2016-02-01,104.16,107.19,103.28,105.06,13325940
2016-02-02,105.21,106.05,99.9,100.33,9835350
2016-02-03,98.44,102.9,95.84,97.34,17343230
2016-02-04,97.82,102.16,97.06,101.07,9921340
2016-02-05,101.63,104.35,100.8,103.71,10015060
2016-02-08,106.5,108.2,104.5,105.01,12200040
2016-02-09,103.95,105.5,99.67,100.0,9116240
2016-02-10,99.5,103.98,98.64,102.26,12409200
2016-02-11,101.64,102.8,98.7,100.16,14652880
2016-02-12,101.13,101.64,95.0,100.55,14369450
2016-02-15,101.8,105.75,101.6,104.14,9467880
2016-02-16,105.01,105.38,102.4,103.37,7094920
2016-02-17,103.01,105.47,99.81,104.75,7799880
2016-02-18,105.96,106.2,103.68,105.68,7849790
2016-02-19,105.0,108.75,104.56,108.35,8393070
2016-02-22,108.91,110.6,107.52,110.27,7329730
2016-02-23,109.5,114.44,109.5,112.4,18691170
2016-02-24,111.11,113.45,110.5,110.95,8374110
2016-02-25,111.2,113.89,111.1,112.57,28055840
2016-02-26,112.5,112.6,109.06,109.91,5918270
2016-02-29,110.4,114.5,109.9,112.65,9054670
2016-03-01,113.0,115.26,112.6,114.35,10282700
2016-03-02,115.2,116.7,112.73,113.33,9316810
2016-03-03,114.2,116.68,113.62,115.98,10701750
2016-03-04,116.11,119.79,115.2,118.55,12243550
2016-03-08,119.4,120.69,117.6,118.63,8142290
2016-03-09,116.51,118.55,115.99,118.01,6366140
2016-03-10,118.4,120.45,117.59,118.59,7841700
2016-03-11,118.0,119.75,117.7,118.36,6014430
2016-03-14,118.6,119.79,117.6,118.09,6132630
2016-03-15,118.0,120.1,117.31,119.5,8475230
2016-03-16,120.0,120.78,118.52,120.01,6420860
2016-03-17,121.15,122.09,119.7,120.24,8833900
2016-03-18,120.5,121.7,119.9,121.29,6627150
2016-03-21,120.81,122.2,119.84,121.6,5651120
2016-03-22,121.1,123.82,120.2,123.02,6090970
2016-03-23,123.5,125.32,122.68,124.87,8305560
2016-03-28,124.0,124.9,121.77,122.69,4161660
2016-03-29,123.0,124.4,122.17,123.29,4893740
2016-03-30,125.0,127.7,123.65,127.17,6858460
2016-03-31,126.2,129.4,125.8,128.33,12316520
2016-04-01,127.14,127.73,125.1,126.27,6773820
2016-04-04,126.6,127.08,124.61,125.98,5599150
2016-04-05,125.21,126.74,124.0,125.95,6438010
2016-04-06,126.0,129.8,125.6,129.27,11183280
2016-04-07,129.5,129.77,127.52,127.73,5239940
2016-04-08,127.2,128.3,126.52,127.34,4714000
2016-04-11,127.74,130.35,127.0,129.98,6883290
2016-04-12,129.92,131.0,128.82,129.77,7246450
2016-04-13,130.51,131.9,129.58,131.36,7360250
2016-04-18,131.22,133.99,130.73,133.43,5235820
2016-04-20,134.67,136.69,133.81,136.16,8518530
2016-04-21,136.2,137.2,134.67,134.96,8947070
2016-04-22,135.5,136.4,134.1,134.33,6094560
2016-04-25,134.21,135.43,132.52,134.52,4835570
2016-04-26,134.6,137.09,134.4,136.8,7730520
2016-04-27,136.0,137.14,135.21,136.26,4896120
2016-04-28,136.8,137.62,135.36,136.85,10075590
2016-04-29,136.0,138.0,135.23,137.32,7211960
2016-05-02,137.0,137.6,136.06,136.48,5170700
2016-05-03,136.51,137.41,135.31,135.68,5316260
2016-05-04,134.5,134.9,131.6,132.17,5443950
2016-05-05,132.51,133.45,130.95,131.99,6319030
2016-05-06,131.42,132.73,130.91,132.01,5152340
2016-05-09,132.66,134.0,131.5,132.62,4928320
2016-05-10,132.0,132.5,127.55,128.78,6697670
2016-05-11,127.0,130.06,126.36,129.14,6035740
2016-05-12,128.89,129.69,127.67,128.27,4380890
2016-05-13,127.71,128.3,126.3,126.87,4275910
2016-05-16,126.74,129.94,125.36,129.56,3966320
2016-05-17,130.0,130.8,128.3,129.0,4564720
2016-05-18,128.5,132.09,128.0,130.93,10606800
2016-05-19,132.45,134.39,131.23,132.02,10040170
2016-05-20,131.8,133.03,130.1,130.5,3264840
2016-05-23,131.49,132.8,129.4,131.86,6613580
2016-05-24,132.0,132.49,130.9,132.02,5942150
2016-05-25,132.4,133.66,129.72,130.04,4941780
2016-05-26,130.7,132.5,130.1,131.9,7608940
2016-05-27,132.3,138.0,131.31,137.57,8752840
2016-05-30,137.8,139.3,135.78,137.2,5173060
2016-05-31,137.1,140.3,136.17,138.92,10605470
2016-06-01,139.6,140.5,137.04,137.48,6472140
2016-06-02,137.04,138.9,135.81,137.93,5151900
2016-06-03,137.93,138.97,136.23,137.03,4475050
2016-06-06,137.0,137.89,135.07,136.95,6043950
