date,open,high,low,close,volume
2016-01-01,504.9,509.45,504.1,507.68,2476270
2016-01-04,502.5,506.9,493.35,497.65,13793142
2016-01-05,500.15,505.0,498.5,502.58,6832918
2016-01-06,503.8,519.2,500.2,516.1,12233710
2016-01-07,510.53,514.0,504.03,506.63,9024438
2016-01-08,510.0,516.45,508.35,512.88,9743678
2016-01-11,507.98,530.4,505.5,525.79,13265342
2016-01-12,527.5,532.7,520.54,522.73,10685522
2016-01-13,526.54,544.88,523.6,538.42,32825622
2016-01-14,531.92,540.5,526.53,530.83,12719826
2016-01-15,534.88,544.75,532.79,536.65,13151450
2016-01-18,537.5,541.98,504.05,508.43,12459918
2016-01-19,514.5,524.9,507.05,521.79,9824192
2016-01-20,517.45,517.45,495.0,502.28,20624706
2016-01-21,508.78,512.88,488.35,492.1,14523544
2016-01-22,497.03,505.5,497.03,502.08,10826910
2016-01-25,505.0,509.38,500.0,501.98,5988680
2016-01-27,504.05,505.0,498.48,499.68,7886590
2016-01-28,500.5,510.9,498.55,508.45,10548946
2016-01-29,509.48,520.0,509.0,517.7,8767154
2016-02-01,519.98,520.9,512.78,515.15,4534546
2016-02-02,515.15,516.4,495.25,500.58,6752932
2016-02-03,494.0,497.0,487.5,490.7,7173616
2016-02-04,494.0,500.5,482.85,486.53,8322158
2016-02-05,489.55,491.0,480.7,485.45,9599764
2016-02-08,485.55,492.4,478.98,480.53,5521706
2016-02-09,476.45,484.4,475.0,478.75,8962058
2016-02-10,475.85,486.5,474.33,481.33,7718500
2016-02-11,481.43,482.98,457.75,462.28,7824326
2016-02-12,466.95,466.95,444.05,453.28,13403870
2016-02-15,459.0,475.68,459.0,473.38,8815778
2016-02-16,475.55,479.0,463.5,465.28,5954526
2016-02-17,467.55,478.73,458.2,476.3,7059664
2016-02-18,481.48,484.35,468.0,470.05,6598322
2016-02-19,470.0,476.38,468.68,472.18,4679328
2016-02-22,472.05,484.15,472.05,481.15,5838396
2016-02-23,481.55,483.6,471.38,474.83,8681492
2016-02-24,472.45,479.28,471.0,476.33,6942622
2016-02-25,477.1,478.28,470.43,472.05,11350050
2016-02-26,476.5,479.38,472.15,475.18,3817066
2016-02-29,475.65,497.3,467.5,483.33,14186948
2016-03-01,482.35,492.53,482.33,490.65,7521846
2016-03-02,496.45,502.88,493.63,500.75,9191772
2016-03-03,505.0,509.0,498.75,506.43,7260012
2016-03-04,507.0,507.5,501.75,503.2,4108856
2016-03-08,503.75,515.45,503.75,513.5,6045108
2016-03-09,510.0,521.95,509.3,520.85,5419662
2016-03-10,521.03,522.95,504.5,505.88,9466248
2016-03-11,507.45,514.78,505.3,507.25,7003352
2016-03-14,509.55,513.2,506.48,509.88,5431180
2016-03-15,512.0,513.92,507.55,510.25,4794664
2016-03-16,510.5,512.9,502.73,510.88,5058148
2016-03-17,513.5,518.45,506.0,508.0,7695480
2016-03-18,509.13,515.08,507.85,513.6,6414492
2016-03-21,513.98,520.75,511.38,518.65,5809704
2016-03-22,518.5,526.13,517.83,523.92,7009934
2016-03-23,523.45,523.45,511.2,514.6,7683308
2016-03-28,515.0,515.85,507.83,510.2,8261106
2016-03-29,511.9,521.0,510.1,518.13,7255802
2016-03-30,521.35,525.88,521.35,523.53,6607560
2016-03-31,520.5,528.0,516.35,522.6,14095970
2016-04-01,519.54,523.15,512.5,517.23,5660230
2016-04-04,520.0,521.1,512.65,517.53,3946520
2016-04-05,515.67,521.2,511.1,513.48,4690296
2016-04-06,516.04,518.35,511.3,516.88,3195950
2016-04-07,517.45,524.0,511.05,518.63,4018110
2016-04-08,517.95,527.23,515.6,518.17,6131402
2016-04-11,518.5,522.75,516.5,520.15,4712636
2016-04-12,520.15,528.73,519.03,523.7,5104198
2016-04-13,526.28,534.95,526.28,533.03,7332282
2016-04-18,532.9,533.4,527.7,532.38,8716204
2016-04-20,534.6,534.6,517.9,518.65,9914994
2016-04-21,520.7,526.0,517.5,520.58,5202872
2016-04-22,519.5,523.75,514.65,519.48,5351172
2016-04-25,522.23,522.23,506.15,508.45,27959172
2016-04-26,507.7,511.95,503.75,508.48,12082558
2016-04-27,508.95,512.98,508.0,509.7,6630120
2016-04-28,507.0,509.6,495.48,498.35,28321014
2016-04-29,496.73,499.28,489.43,491.35,10734120
2016-05-02,489.5,496.2,489.0,493.48,4855506
2016-05-03,494.0,497.48,486.38,487.9,8033248
2016-05-04,487.03,491.85,486.5,489.05,6192906
2016-05-05,490.0,491.73,485.45,487.63,9904822
2016-05-06,486.5,488.4,483.5,484.48,6742440
2016-05-09,487.5,493.0,486.4,491.55,7016176
2016-05-10,491.55,492.35,489.0,491.28,3313680
2016-05-11,485.9,490.38,485.0,487.7,5641398
2016-05-12,488.0,497.1,487.53,496.4,5845428
2016-05-13,494.48,495.28,487.5,489.08,6696706
2016-05-16,488.5,491.25,485.55,487.98,4264144
2016-05-17,490.13,491.55,483.18,484.58,5558046
2016-05-18,482.95,486.25,482.05,485.28,3761948
2016-05-19,485.85,485.95,472.8,475.6,4176116
2016-05-20,476.0,477.25,465.68,467.1,8477976
2016-05-23,468.68,470.35,462.83,465.0,8396196
2016-05-24,464.03,472.0,464.03,470.23,5615474
2016-05-25,474.93,476.4,470.58,475.6,4224270
2016-05-26,475.0,476.2,472.05,473.43,6487202
2016-05-27,474.53,488.45,474.38,487.35,6126758
2016-05-30,488.2,490.75,482.5,484.35,4404182
2016-05-31,484.5,486.5,478.25,478.93,10666938
2016-06-01,478.98,483.05,475.9,476.8,4134068
2016-06-02,477.25,478.58,472.55,478.13,4687704
2016-06-03,480.0,481.45,477.93,479.83,3951424
2016-06-06,480.5,481.5,476.28,477.4,3964932
2016-06-07,478.63,480.48,475.8,477.53,8665254
2016-06-08,479.0,479.0,474.58,477.05,5547950
2016-06-09,480.0,488.23,478.1,485.58,7151680
2016-06-10,487.0,492.2,484.15,488.35,7459474
2016-06-13,484.95,491.73,481.53,490.55,4669712
2016-06-14,490.48,492.7,484.65,488.13,4994016
2016-06-15,490.0,493.25,486.88,492.3,5087842
2016-06-16,490.5,491.83,483.53,488.15,4284658
2016-06-17,488.5,489.33,485.05,487.45,4816192
2016-06-20,486.08,496.3,484.0,495.1,4918474
2016-06-21,497.05,497.08,489.85,493.55,6369730
2016-06-22,492.5,492.95,488.55,490.25,5846568
2016-06-23,489.98,491.0,485.0,490.23,4497386
2016-06-24,482.45,482.45,466.7,475.73,11422346
2016-06-27,470.25,479.2,470.25,477.83,4189198
2016-06-28,478.2,480.78,477.5,478.9,3476740
2016-06-29,481.0,484.48,480.0,483.45,3439714
2016-06-30,486.0,488.75,483.53,484.58,5832658
2016-07-01,486.38,488.4,485.0,486.73,3021958
2016-07-04,487.75,496.8,487.75,493.35,3567500
2016-07-05,493.05,501.45,490.15,496.55,5193356
2016-07-07,496.25,500.25,493.08,493.95,5499296
2016-07-08,493.5,494.5,488.18,489.2,3264450
2016-07-11,495.5,497.48,492.75,496.25,3779212
2016-07-12,497.63,502.5,495.5,501.7,4465370
2016-07-13,502.6,508.35,502.08,504.38,6818772
2016-07-14,504.05,507.05,499.13,502.45,4918366
2016-07-15,504.5,510.5,501.75,506.1,6397124
2016-07-18,514.0,519.38,500.88,503.13,14678172
2016-07-19,503.0,511.48,497.65,508.9,7611500
2016-07-20,509.98,514.15,508.28,511.5,5607290
2016-07-21,512.0,512.5,502.5,503.18,3068088
2016-07-22,503.0,508.9,502.55,507.43,3154228
2016-07-25,507.0,511.88,503.68,511.38,3767768
2016-07-26,511.5,517.4,507.6,512.03,4807744
2016-07-27,511.53,513.0,504.48,506.55,5042896
2016-07-28,507.48,515.25,506.53,513.17,7136750
2016-07-29,512.0,512.45,506.0,507.45,4402328
2016-08-01,509.0,510.15,502.53,504.75,3647388
2016-08-02,504.0,510.0,503.15,506.4,3524816
2016-08-03,507.2,507.2,495.75,496.98,5427608
2016-08-04,499.5,500.0,491.7,496.5,4657432
2016-08-05,499.0,509.5,498.53,508.13,5535828
2016-08-08,509.95,517.0,509.33,514.63,6197506
2016-08-09,513.5,517.25,510.5,515.35,6076092
2016-08-10,515.63,517.28,501.0,501.83,6158926
2016-08-11,500.98,511.43,499.8,507.05,6477798
2016-08-12,508.5,521.45,508.5,517.9,7481722
2016-08-16,518.13,522.4,507.75,512.45,6111206
2016-08-17,512.04,514.4,503.6,506.65,7079940
2016-08-18,508.0,511.83,508.0,509.03,3542898
2016-08-19,509.0,511.0,503.55,507.45,3738616
2016-08-22,506.0,509.85,503.6,505.93,3055808
2016-08-23,506.0,507.5,502.5,505.23,3346656
2016-08-24,505.85,510.98,505.5,510.25,3986306
2016-08-25,510.6,514.5,504.5,506.35,6839550
2016-08-26,508.95,515.4,507.3,513.95,4406930
2016-08-29,513.63,529.88,513.04,528.73,7402990
2016-08-30,531.0,534.25,526.5,533.2,8307044
2016-08-31,532.45,537.0,523.5,530.0,10649920
2016-09-01,526.5,536.38,512.85,514.6,19484908
2016-09-02,515.54,516.28,501.15,506.68,12857628
2016-09-06,509.95,512.5,507.5,509.95,5262182
2016-09-07,511.0,513.53,506.53,508.83,5909990
2016-09-08,511.53,517.98,510.1,516.7,5580392
2016-09-09,517.5,524.95,515.0,522.28,6980882
2016-09-12,515.2,528.0,514.58,523.25,15399600
2016-09-14,524.0,529.5,520.45,522.38,8505508
2016-09-15,523.5,535.1,523.5,532.5,14341770
2016-09-16,533.5,546.92,529.54,537.78,17977852
2016-09-19,536.28,544.0,535.5,541.2,7624648
2016-09-20,542.0,542.38,534.53,537.1,5271708
2016-09-21,537.0,542.45,534.5,536.13,5002952
2016-09-22,541.5,547.9,539.5,544.48,8577088
2016-09-23,544.5,554.73,544.5,551.4,14211450
2016-09-26,551.7,564.78,550.13,553.6,17469886
2016-09-27,558.5,562.98,553.29,555.25,8857386
2016-09-28,553.95,554.0,543.15,545.33,11346976
2016-09-29,547.5,555.38,533.7,536.23,9719492
2016-09-30,534.0,547.28,533.15,541.85,5120210
2016-10-03,543.5,553.98,538.13,545.35,8286218
2016-10-04,546.53,554.15,546.0,548.17,5995088
2016-10-05,552.0,553.25,542.9,544.7,4932794
2016-10-06,546.0,563.13,546.0,555.4,9651260
2016-10-07,557.0,561.53,553.25,554.5,6985676
2016-10-10,557.0,561.0,547.0,548.17,5281946
2016-10-13,544.5,544.53,526.0,528.58,10029334
2016-10-14,531.5,541.0,530.83,538.83,6978946
2016-10-17,540.0,540.4,529.38,530.33,4492474
2016-10-18,533.0,541.38,531.03,540.54,5062266
2016-10-19,542.23,547.35,540.7,543.67,7805312
2016-10-20,546.98,549.0,542.03,543.78,4629042
2016-10-21,548.5,548.5,529.2,532.1,19936484
2016-10-24,535.0,537.0,530.33,531.65,4806198
2016-10-25,532.5,532.63,527.1,530.42,3501422
2016-10-26,528.03,529.73,526.04,527.03,5004110
2016-10-27,525.54,526.95,521.7,524.35,5871148
2016-10-28,525.0,529.0,521.9,527.48,3715834
2016-10-30,529.38,529.38,523.15,525.6,724340
2016-11-01,525.65,527.98,523.7,525.5,4674022
2016-11-02,520.5,521.42,510.5,511.88,3218450
2016-11-03,511.93,517.38,510.3,511.98,3342742
2016-11-04,510.13,513.45,500.0,502.78,5273822
2016-11-07,507.0,508.28,499.53,500.58,4345842
2016-11-08,502.85,502.85,499.15,501.75,6140692
2016-11-09,475.0,504.5,465.0,502.3,9893146
2016-11-10,509.3,514.48,503.5,505.2,4463814
2016-11-11,498.93,508.75,497.55,500.88,6754784
2016-11-15,498.25,500.0,489.78,492.7,6623184
2016-11-16,497.5,498.4,490.35,493.28,7566452
2016-11-17,493.0,499.08,487.2,488.88,5773270
2016-11-18,492.5,496.35,491.0,493.75,8303856
2016-11-21,493.78,496.78,491.6,495.75,6049424
2016-11-22,498.85,503.9,496.65,500.73,8067320
2016-11-23,502.5,505.25,499.78,504.5,5992496
2016-11-24,502.78,502.78,491.1,493.68,8646750
2016-11-25,495.0,497.95,492.18,496.85,4779658
2016-11-28,496.5,500.3,492.05,493.33,3800322
2016-11-29,494.5,502.15,494.03,498.85,4519218
2016-11-30,499.98,499.98,493.33,495.03,12616008
2016-12-01,500.0,507.5,497.5,498.88,5773026
2016-12-02,497.95,502.5,495.9,497.38,5706090
2016-12-05,497.5,499.85,493.25,496.93,1822820
2016-12-06,498.0,503.28,497.3,502.6,3075070
2016-12-07,502.0,503.8,498.18,499.58,2254226
2016-12-08,502.53,510.9,502.18,510.03,4000460
2016-12-09,511.0,515.92,510.15,514.48,3766666
2016-12-12,510.25,520.85,510.25,513.6,4125400
2016-12-13,514.0,520.5,513.78,519.9,4738906
2016-12-14,519.9,532.23,519.1,529.75,11035658
2016-12-15,526.2,533.79,524.33,526.48,8837934
2016-12-16,526.0,531.0,526.0,528.58,6831074
2016-12-19,527.5,533.48,527.17,531.28,6861900
2016-12-20,527.35,530.5,526.58,528.95,5343438
2016-12-21,530.04,533.65,528.6,531.63,9311516
2016-12-22,529.0,531.33,525.48,526.67,13208832
2016-12-23,526.0,534.48,526.0,528.65,4692828
2016-12-26,527.17,533.0,522.33,523.73,7004598
2016-12-27,523.92,533.54,523.5,532.35,7974284
2016-12-28,533.95,534.78,523.54,524.85,4405854
2016-12-29,525.0,534.4,524.75,532.73,4010412
2016-12-30,532.4,542.5,531.54,541.2,7182986
2017-01-02,542.0,545.0,536.17,542.54,3244916
2017-01-03,544.92,548.5,540.54,544.7,2941502
2017-01-04,546.45,546.5,532.15,533.58,4751094
2017-01-05,535.5,539.95,534.38,538.7,3992966
2017-01-06,537.1,542.5,536.54,537.48,3586854
2017-01-09,538.5,543.0,535.5,538.85,2390514
2017-01-10,540.0,547.2,540.0,544.92,5188800
2017-01-11,547.5,547.85,542.0,543.03,5246422
2017-01-12,543.5,545.17,539.9,541.65,1998728
2017-01-13,542.28,548.75,542.28,545.2,3307338
2017-01-16,544.98,546.98,536.98,538.13,5492010
2017-01-17,532.5,534.0,519.25,520.63,17936580
2017-01-18,521.29,524.0,514.38,516.28,7254142
2017-01-19,517.58,522.65,515.5,516.85,6987456
2017-01-20,516.98,518.73,511.95,512.9,4016164
2017-01-23,510.9,515.5,506.4,507.95,6267066
2017-01-24,508.5,514.4,508.5,513.65,4306182
2017-01-25,516.0,516.35,508.08,508.65,10906460
2017-01-27,510.13,514.45,509.5,512.54,9994478
2017-01-30,512.48,523.23,512.4,522.4,7167512
2017-01-31,523.42,526.9,520.15,522.6,6914730
2017-02-01,523.04,525.45,517.6,524.83,5171596
2017-02-02,525.0,525.4,519.13,521.75,4159816
2017-02-03,523.0,525.23,515.04,516.83,6043502
2017-02-06,518.5,522.45,516.03,520.83,4567964
2017-02-07,521.0,521.17,513.6,515.45,4528490
2017-02-08,515.45,519.13,511.0,512.58,7420188
2017-02-09,514.0,517.0,513.4,516.38,4508432
2017-02-10,517.5,517.78,512.78,515.08,5723062
2017-02-13,516.5,517.0,511.0,514.92,3915976
2017-02-14,517.5,526.45,514.95,524.9,8340828
2017-02-15,526.45,528.75,522.63,525.65,6965690
2017-02-16,526.28,534.73,526.28,533.75,8985694
2017-02-17,533.25,539.1,529.23,537.75,6787712
2017-02-20,535.28,539.42,533.25,537.7,5326254
2017-02-21,537.6,545.48,536.53,544.1,6485580
2017-02-22,546.5,605.83,546.0,603.75,58207852
2017-02-23,606.79,611.0,589.67,591.38,28458468
2017-02-27,595.25,628.4,595.17,619.45,38137822
2017-02-28,616.0,624.0,614.25,619.03,16509062
2017-03-01,620.04,622.2,615.0,617.25,11148306
2017-03-02,618.95,627.35,613.53,618.38,8258066
2017-03-03,620.78,643.9,620.78,629.28,38541702
2017-03-06,634.5,656.0,632.63,652.67,30504308
2017-03-07,659.43,663.5,648.08,652.48,19233700
2017-03-08,653.85,653.85,643.04,645.6,19812206
2017-03-09,645.0,649.0,640.75,643.38,14215340
2017-03-10,645.13,648.0,630.6,640.83,11331136
2017-03-14,659.38,659.5,642.63,644.75,12693240
2017-03-15,645.53,658.15,645.2,652.48,11021316
2017-03-16,655.0,655.2,646.79,648.83,7279928
2017-03-17,654.0,659.98,649.03,650.35,10390152
2017-03-20,653.0,653.13,639.17,640.4,5883428
2017-03-21,641.1,641.95,629.65,631.9,10330214
2017-03-22,626.0,632.95,623.28,629.85,9276676
2017-03-23,631.58,638.78,629.0,636.65,5398180
2017-03-24,637.04,646.0,634.23,643.38,7443822
2017-03-27,635.54,639.38,623.6,625.54,14836244
2017-03-28,629.0,632.0,621.04,622.88,9923868
2017-03-29,625.85,630.0,616.67,628.33,8651574
2017-03-30,627.5,637.38,626.5,635.33,12737718
2017-03-31,633.0,668.83,633.0,660.45,20751038
2017-04-03,671.0,690.25,668.53,687.33,20520654
2017-04-05,697.6,709.0,690.05,707.5,18434720
2017-04-06,704.5,724.45,701.1,719.25,23142150
2017-04-07,710.65,717.0,701.28,703.3,14572302
2017-04-10,705.0,712.45,688.65,690.68,14066282
2017-04-11,693.93,700.23,685.05,686.18,14743454
2017-04-12,691.4,693.23,675.58,677.0,12548430
2017-04-13,677.0,686.7,673.68,682.4,5812376
2017-04-17,682.5,697.78,682.5,695.93,5411708
2017-04-18,699.98,705.0,683.5,685.1,7322166
2017-04-19,684.5,691.28,678.78,684.4,5290584
2017-04-20,689.5,693.4,682.05,684.78,3837224
2017-04-21,690.25,710.5,689.28,701.25,13820554
2017-04-24,704.53,717.5,700.1,708.7,11663462
2017-04-25,730.0,733.88,713.05,716.4,16807408
2017-04-26,717.5,720.03,701.3,708.23,7663550
2017-04-27,708.5,712.08,701.1,704.75,5747310
2017-04-28,704.88,710.15,695.5,697.6,5416808
