date,open,high,low,close,volume
2016-01-01,84.7,85.25,84.0,84.9,2806421
2016-01-04,84.2,85.9,80.4,80.75,8706224
2016-01-05,82.0,83.95,80.6,82.6,9819068
2016-01-06,82.4,82.85,79.7,80.55,6494446
2016-01-07,79.0,79.4,76.1,76.65,8098318
2016-01-08,77.45,78.15,75.2,76.9,6800939
2016-01-11,75.8,78.65,74.3,77.9,9706674
2016-01-12,78.4,78.65,75.0,75.6,6696133
2016-01-13,76.4,77.5,74.3,76.7,8275596
2016-01-14,75.0,76.0,73.4,74.7,7864816
2016-01-15,75.35,75.4,71.15,71.8,5206900
2016-01-18,71.05,73.5,70.05,71.2,6814262
2016-01-19,72.1,73.9,71.1,71.85,4396738
2016-01-20,71.0,71.05,66.35,67.6,8312143
2016-01-21,69.0,69.35,66.8,68.3,5883512
2016-01-22,69.6,72.9,69.1,72.35,6988053
2016-01-25,72.9,73.45,71.8,72.0,3930042
2016-01-27,72.5,72.85,70.8,71.05,5960177
2016-01-28,71.05,71.4,69.25,69.7,12038432
2016-01-29,70.0,71.15,68.75,70.5,9203028
2016-02-01,70.85,71.55,70.2,71.1,5582032
2016-02-02,71.75,71.8,68.2,68.55,6192773
2016-02-03,68.0,68.0,66.3,66.65,6780055
2016-02-04,67.8,70.45,67.2,68.7,12083591
2016-02-05,69.3,72.2,68.8,71.25,15932693
2016-02-08,72.0,72.0,69.45,69.8,10400835
2016-02-09,68.5,70.8,67.6,70.0,16969989
2016-02-10,70.2,70.5,65.0,66.9,16937036
2016-02-11,67.5,67.75,62.95,63.7,7915911
2016-02-12,64.8,64.85,58.8,60.9,11171816
2016-02-15,62.45,68.45,62.3,67.0,17333390
2016-02-16,68.5,68.5,64.55,64.85,9530757
2016-02-17,65.2,66.3,61.6,65.8,12113622
2016-02-18,67.65,70.1,67.2,68.9,14663310
2016-02-19,68.3,70.0,67.45,69.05,6048480
2016-02-22,69.15,70.6,68.8,69.5,5132711
2016-02-23,69.9,71.85,67.8,68.5,10366393
2016-02-24,67.6,68.45,66.0,66.4,6136935
2016-02-25,67.35,68.0,66.45,67.15,6197874
2016-02-26,68.2,69.95,66.2,69.45,9806363
2016-02-29,70.15,70.8,66.7,68.75,15550728
2016-03-01,69.0,70.5,68.6,70.25,8273262
2016-03-02,71.9,77.0,71.3,74.95,21643529
2016-03-03,76.5,79.8,75.5,79.25,22949555
2016-03-04,79.85,81.9,77.6,79.4,15840406
