date,open,high,low,close,volume
2016-01-01,653.2,658.45,648.5,655.35,556012
2016-01-04,652.05,653.8,639.4,645.65,631534
2016-01-05,646.2,649.95,638.05,640.85,642269
2016-01-06,639.7,655.95,638.7,652.1,1234096
2016-01-07,648.0,650.0,629.0,637.45,732335
2016-01-08,637.3,645.0,614.0,622.35,1553402
2016-01-11,617.4,617.4,604.25,610.05,1668698
2016-01-12,609.0,616.9,605.7,611.45,1278522
2016-01-13,615.25,615.95,596.1,608.65,794118
2016-01-14,603.4,617.05,596.75,614.3,986574
2016-01-15,616.0,616.95,602.35,609.1,1119442
2016-01-18,608.0,608.05,586.4,591.05,1435098
2016-01-19,590.35,600.8,583.0,598.05,849433
2016-01-20,594.8,603.15,588.0,593.15,1002709
2016-01-21,600.25,601.45,576.55,580.25,1452498
2016-01-22,582.8,588.5,577.4,581.9,1297154
2016-01-25,590.0,590.0,579.2,580.6,910559
2016-01-27,582.0,587.65,572.3,580.5,982504
2016-01-28,581.0,585.5,575.0,577.8,1336930
2016-01-29,579.95,592.0,578.1,585.1,1146060
2016-02-01,591.9,605.95,589.15,599.45,1045333
2016-02-02,601.0,606.05,562.0,574.0,1779141
2016-02-03,570.0,578.8,559.4,562.05,1188642
2016-02-04,567.0,570.4,540.05,550.4,1614064
2016-02-05,555.0,573.3,544.1,570.15,864080
2016-02-08,574.95,575.75,561.1,566.85,1264314
2016-02-09,564.9,571.2,551.1,555.85,1357674
2016-02-10,555.0,558.95,534.0,538.6,2425499
2016-02-11,530.0,548.7,517.3,540.85,5647601
2016-02-12,543.0,543.55,525.05,528.6,1981976
2016-02-15,533.05,542.0,528.5,539.7,2467275
2016-02-16,545.95,549.5,520.45,524.05,2664696
2016-02-17,526.0,526.5,513.4,519.1,1924596
2016-02-18,527.1,529.4,520.6,524.4,1967772
2016-02-19,525.95,531.0,519.2,524.65,1054082
2016-02-22,529.35,531.85,525.0,530.5,1236400
2016-02-23,531.9,532.9,517.5,522.6,1047760
2016-02-24,522.2,523.05,510.5,513.95,1836770
2016-02-25,518.0,521.8,510.0,519.0,2723564
2016-02-26,522.85,527.75,519.0,524.0,1985528
2016-02-29,528.0,528.0,505.0,514.15,3487816
2016-03-01,515.0,521.4,509.6,516.35,2146110
2016-03-02,523.5,532.0,519.4,525.6,3422308
2016-03-03,530.0,531.0,523.4,527.1,3101778
2016-03-04,533.7,545.6,530.25,537.7,2693406
