date,open,high,low,close,volume
2016-01-01,550.0,554.48,546.6,552.63,1806550
2016-01-04,549.98,551.23,538.03,539.45,3975362
2016-01-05,542.75,542.75,531.13,537.03,4949786
2016-01-06,537.33,537.33,529.45,534.68,5588328
2016-01-07,530.03,533.95,523.95,525.4,5294088
2016-01-08,530.75,533.7,527.75,531.65,3156716
2016-01-11,528.15,534.98,526.05,527.85,5360622
2016-01-12,531.0,531.48,515.43,524.98,6565212
2016-01-13,528.5,545.5,524.05,541.7,8751294
2016-01-14,533.0,577.5,527.18,566.5,30227006
2016-01-15,574.0,582.0,568.78,569.95,13036614
2016-01-18,569.95,581.05,564.18,565.95,10066612
2016-01-19,567.5,579.48,564.28,569.83,7500436
2016-01-20,567.0,580.0,558.5,560.63,7507998
2016-01-21,567.5,571.25,561.0,568.53,6743000
2016-01-22,574.05,576.25,565.5,568.13,6436018
2016-01-25,570.13,573.43,562.28,568.83,4579262
2016-01-27,573.23,574.8,567.5,569.25,6971962
2016-01-28,568.0,571.3,563.1,564.8,7788598
2016-01-29,569.0,585.0,565.8,582.45,10232108
2016-02-01,585.0,589.95,580.8,586.68,4251126
2016-02-02,588.43,595.0,582.0,587.78,7632702
2016-02-03,583.9,587.95,576.38,578.85,5245966
2016-02-04,580.03,597.48,580.03,589.88,5549346
2016-02-05,587.75,593.33,585.93,587.35,3984224
2016-02-08,581.88,586.1,571.9,575.4,4221044
2016-02-09,564.15,564.15,546.75,553.83,7579572
2016-02-10,554.0,563.75,552.5,554.28,5866054
2016-02-11,555.5,556.5,535.58,539.33,5214378
2016-02-12,547.35,552.2,533.5,542.33,7408096
2016-02-15,548.13,550.1,543.3,545.88,5093478
2016-02-16,543.5,546.38,536.85,539.58,5125448
2016-02-17,540.88,551.5,538.5,548.93,4164598
2016-02-18,550.0,563.5,550.0,561.7,4189072
2016-02-19,559.6,567.1,556.93,563.63,3974018
2016-02-22,565.5,566.98,557.03,563.33,3857010
2016-02-23,565.13,566.25,558.03,561.95,2501960
2016-02-24,559.75,571.88,559.18,562.68,4950714
2016-02-25,562.7,565.3,550.55,555.15,4484528
2016-02-26,560.08,566.0,558.0,560.58,4235636
2016-02-29,564.75,565.2,534.15,542.03,8166076
2016-03-01,547.4,565.15,547.4,562.73,6386154
2016-03-02,568.53,581.75,562.5,578.0,7214898
2016-03-03,584.0,596.43,577.0,584.65,5814304
2016-03-04,587.8,592.5,579.55,585.33,4281680
2016-03-08,581.5,595.25,573.7,581.73,7617746
2016-03-09,572.5,591.88,571.48,589.25,6305782
2016-03-10,581.45,581.45,569.68,571.25,24381016
2016-03-11,573.1,577.98,569.1,571.5,4058548
2016-03-14,573.0,577.13,569.25,570.6,4174262
2016-03-15,572.0,577.25,564.48,567.2,6720258
2016-03-16,570.95,577.5,565.78,576.23,5588850
2016-03-17,578.45,584.88,577.03,580.88,6474622
2016-03-18,581.4,599.5,581.0,596.7,8477422
2016-03-21,594.0,599.5,590.03,597.45,5138392
2016-03-22,595.63,597.0,586.0,594.98,7097950
2016-03-23,595.0,605.35,591.05,603.9,6333176
2016-03-28,616.2,618.5,597.88,602.45,10787510
2016-03-29,599.5,609.45,595.78,598.63,6995356
2016-03-30,598.8,605.0,597.78,602.98,5756818
2016-03-31,605.13,614.95,600.15,609.15,17996320
2016-04-01,608.0,611.1,597.55,602.73,5511428
2016-04-04,606.78,624.0,606.78,621.85,4577054
2016-04-05,621.0,621.15,607.0,609.9,4790716
2016-04-06,614.0,614.0,598.0,600.35,4931354
2016-04-07,604.2,604.2,587.5,590.75,5657890
2016-04-08,587.93,588.75,581.03,582.88,4195578
2016-04-11,582.9,593.38,575.55,591.95,5768678
2016-04-12,590.25,597.45,589.3,591.1,5842138
2016-04-13,597.48,597.48,583.18,586.35,12511386
2016-04-18,625.0,633.95,616.75,619.35,25015990
2016-04-20,622.0,623.23,612.9,621.8,8072848
2016-04-21,625.5,625.5,609.05,613.15,5441100
2016-04-22,613.15,614.25,603.5,605.63,5143938
2016-04-25,606.03,612.4,600.55,607.93,5364134
2016-04-26,607.73,619.78,604.3,616.08,5846744
2016-04-27,614.6,621.18,614.28,620.08,4486208
2016-04-28,615.5,619.8,603.5,604.58,12165168
2016-04-29,605.73,611.78,602.5,604.05,5036410
2016-05-02,605.0,605.58,598.08,600.53,3615250
2016-05-03,601.38,606.1,585.9,588.9,6824810
2016-05-04,590.5,596.5,585.33,594.43,5812842
2016-05-05,597.58,599.5,590.55,596.23,6302668
2016-05-06,594.9,594.9,588.53,590.75,2596720
2016-05-09,591.0,600.78,590.3,599.53,5123678
2016-05-10,601.25,608.33,598.3,606.4,3395704
2016-05-11,599.25,607.35,596.25,600.93,3709888
2016-05-12,601.95,606.5,598.4,605.0,3406932
2016-05-13,603.0,605.0,596.08,603.63,5652064
2016-05-16,605.1,611.83,602.5,607.5,4533878
2016-05-17,610.0,612.88,604.08,607.13,3796294
2016-05-18,599.5,607.0,598.95,604.93,4256596
2016-05-19,605.48,608.08,600.5,602.88,3954400
2016-05-20,602.5,609.75,600.0,600.8,3994548
2016-05-23,601.7,602.58,592.5,594.0,4585946
2016-05-24,595.53,595.88,588.8,593.88,3485060
2016-05-25,597.05,606.55,597.05,604.33,3857396
2016-05-26,605.05,619.9,605.05,617.08,6136436
2016-05-27,615.8,629.75,615.8,623.75,6180764
2016-05-30,620.75,636.0,620.75,633.8,5285700
2016-05-31,632.5,633.38,619.5,624.33,13782038
2016-06-01,623.03,634.25,623.0,629.1,4840534
2016-06-02,627.5,637.45,627.0,630.78,5053552
2016-06-03,630.03,639.65,630.03,633.45,3998380
2016-06-06,632.45,638.5,630.55,633.38,4225768
2016-06-07,633.5,636.25,627.55,628.7,5692420
2016-06-08,631.98,631.98,617.68,619.05,8741370
2016-06-09,613.13,613.13,590.03,592.75,12740804
2016-06-10,587.7,595.0,585.05,590.3,6383956
2016-06-13,588.4,592.45,583.0,590.45,5286722
2016-06-14,591.2,591.2,583.63,587.5,2940728
2016-06-15,591.85,596.33,589.53,594.98,6711572
2016-06-16,594.75,594.75,585.05,593.0,5302564
2016-06-17,594.5,596.38,587.55,589.75,8515082
2016-06-20,590.5,605.9,589.85,604.38,6229566
2016-06-21,605.6,607.4,597.83,603.05,4761724
2016-06-22,602.0,605.98,594.08,599.75,3031258
2016-06-23,598.65,607.43,596.68,605.8,3828626
2016-06-24,594.0,599.5,580.0,597.28,7808348
2016-06-27,586.03,591.6,580.0,583.1,5583778
2016-06-28,581.4,586.25,577.55,579.58,7655974
2016-06-29,584.5,589.95,580.1,588.43,5459150
2016-06-30,590.25,592.25,583.98,585.4,9346224
2016-07-01,590.0,590.0,585.05,586.2,3991912
2016-07-04,588.1,597.3,588.1,591.98,5381322
2016-07-05,592.5,593.75,585.53,587.73,3596416
2016-07-07,584.35,585.5,577.5,578.63,5954876
2016-07-08,581.5,583.5,576.75,579.1,5551648
2016-07-11,583.7,589.35,580.0,587.53,6668882
2016-07-12,590.0,590.18,584.0,588.28,6197368
2016-07-13,590.0,597.9,587.6,596.9,5275420
2016-07-14,597.5,598.03,582.0,588.13,7413328
2016-07-15,594.75,594.95,526.0,536.28,61484126
2016-07-18,538.63,542.45,527.58,540.98,14332824
2016-07-19,544.3,545.0,537.05,543.48,10404644
2016-07-20,535.0,544.95,535.0,541.55,9822896
2016-07-21,539.5,543.6,537.8,539.95,8668002
2016-07-22,535.0,539.95,533.35,536.23,9386538
2016-07-25,531.5,541.63,531.5,540.43,8469552
2016-07-26,535.18,544.95,535.18,544.35,7189610
2016-07-27,542.35,548.25,539.28,542.68,7431820
2016-07-28,542.7,543.48,537.03,538.75,11258562
2016-07-29,536.3,538.38,533.25,536.93,8156784
2016-08-01,535.75,543.93,534.18,542.63,9096662
2016-08-02,539.95,542.5,537.5,541.9,6822502
2016-08-03,542.83,543.25,535.15,542.45,7213460
2016-08-04,543.2,543.45,535.03,535.9,4237278
2016-08-05,536.0,536.73,530.0,534.0,5609968
2016-08-08,534.5,540.5,531.28,539.35,4643064
2016-08-09,538.5,542.25,535.75,541.7,7192664
2016-08-10,538.0,543.95,537.6,541.18,5576454
2016-08-11,540.85,547.5,537.63,538.68,5038552
2016-08-12,537.53,539.4,530.0,531.28,7449928
2016-08-16,521.0,529.03,514.0,525.9,16429408
2016-08-17,524.98,526.33,515.25,516.65,6599316
2016-08-18,518.25,519.55,510.75,511.7,8434000
2016-08-19,515.0,519.5,509.23,510.65,5686016
2016-08-22,509.0,515.0,504.55,507.73,10253518
2016-08-23,510.05,521.0,510.05,519.83,7406138
2016-08-24,523.5,531.03,523.5,528.7,6129966
2016-08-25,527.5,528.8,516.05,518.08,4796562
2016-08-26,518.0,523.0,508.53,510.13,6881054
2016-08-29,508.8,515.0,505.5,511.4,5220282
2016-08-30,516.23,522.5,512.5,520.2,4375438
2016-08-31,518.55,522.88,513.9,517.93,11139814
2016-09-01,519.0,520.23,516.0,518.78,2877826
2016-09-02,519.53,520.0,513.1,515.93,3332592
2016-09-06,519.13,524.45,517.8,522.5,8215044
2016-09-07,524.0,529.5,522.0,527.18,7425470
2016-09-08,522.5,522.5,512.0,518.83,9092774
2016-09-09,518.5,520.5,513.28,517.75,5053438
2016-09-12,512.63,529.0,512.63,527.0,6203096
2016-09-14,526.98,528.9,520.33,522.8,5152418
2016-09-15,522.8,523.4,517.68,521.1,4701722
2016-09-16,524.5,532.25,519.05,530.08,9949384
2016-09-19,523.0,534.45,520.68,530.6,5809154
2016-09-20,526.65,528.58,522.88,525.08,4214004
2016-09-21,527.0,530.63,525.53,527.88,4231532
2016-09-22,529.5,530.5,526.0,529.4,3629514
2016-09-23,528.5,529.4,520.0,521.28,5205294
2016-09-26,521.38,522.0,515.5,517.95,6371798
2016-09-27,517.53,524.95,516.68,519.88,6525660
2016-09-28,520.0,521.15,516.63,519.48,5434708
2016-09-29,522.48,522.48,512.0,514.6,8902638
2016-09-30,515.55,521.95,515.55,518.03,6502354
2016-10-03,517.75,520.0,513.05,519.05,3656160
2016-10-04,520.0,525.7,519.15,524.6,5066586
2016-10-05,524.6,524.93,518.5,520.75,2307574
2016-10-06,522.5,522.5,512.98,513.7,3721882
2016-10-07,514.98,516.9,505.05,506.28,6288558
2016-10-10,508.5,515.88,505.0,514.98,5413170
2016-10-13,510.7,529.0,510.7,526.18,9778690
2016-10-14,526.45,541.35,498.13,513.58,33461690
2016-10-17,517.48,520.9,508.68,511.2,8014858
2016-10-18,515.0,520.25,513.65,519.53,6388134
2016-10-19,521.0,522.85,518.0,520.9,3509836
2016-10-20,522.38,525.35,516.9,518.33,3535490
2016-10-21,517.5,520.5,511.25,519.15,3863620
2016-10-24,518.75,521.35,512.75,513.55,2902974
2016-10-25,518.25,519.45,507.6,508.6,5636014
2016-10-26,508.5,509.93,504.65,507.1,2775216
2016-10-27,508.95,508.98,500.55,501.75,7227790
2016-10-28,502.6,505.0,496.58,498.75,5840706
2016-10-30,500.5,502.98,499.9,501.05,638072
2016-11-01,503.4,503.4,493.2,494.73,6332798
2016-11-02,492.4,493.75,490.0,490.53,5377194
2016-11-03,490.53,491.0,482.55,483.43,5225108
2016-11-04,483.5,489.6,480.5,485.5,6005548
2016-11-07,492.5,493.0,487.5,488.98,4537672
2016-11-08,493.45,493.88,485.3,491.3,5261108
2016-11-09,465.0,487.3,450.5,479.15,12764158
2016-11-10,481.25,481.25,467.5,469.7,7287330
2016-11-11,470.0,472.5,459.35,460.78,7096782
2016-11-15,462.0,469.98,454.28,461.78,9235850
2016-11-16,465.0,478.43,464.28,470.45,12222616
2016-11-17,467.13,474.5,463.2,464.9,5706730
2016-11-18,465.0,466.63,458.75,460.0,6040228
2016-11-21,463.45,463.45,453.48,455.55,7940568
