date,open,high,low,close,volume
2016-01-01,852.67,860.67,848.37,859.47,1127733
2016-01-04,857.33,859.97,835.53,837.3,2767263
2016-01-05,841.87,846.0,835.0,837.93,2470134
2016-01-06,839.33,839.87,823.33,824.57,2728635
2016-01-07,818.77,818.9,800.0,804.27,4689761
2016-01-08,810.07,811.27,783.33,786.07,5356013
2016-01-11,774.67,789.93,763.37,782.23,4304283
2016-01-12,790.9,800.0,782.17,786.1,4095195
2016-01-13,796.0,796.0,752.07,771.17,5619939
2016-01-14,756.27,770.0,740.07,756.43,5099718
2016-01-15,759.93,761.0,733.33,738.6,3987867
2016-01-18,737.33,740.0,716.0,722.37,4166633
2016-01-19,722.87,755.0,712.73,748.63,4372536
2016-01-20,733.97,748.33,718.23,744.07,5856755
2016-01-21,753.33,758.4,727.4,735.13,3802062
2016-01-22,743.93,763.33,740.2,761.47,3694869
2016-01-25,767.33,771.9,739.27,742.77,2472816
2016-01-27,748.0,748.0,731.77,738.53,2618145
2016-01-28,734.0,735.67,713.33,716.33,5794727
2016-01-29,716.0,739.33,713.47,734.43,4848987
2016-02-01,750.0,772.63,740.07,748.03,7053951
2016-02-02,749.33,763.33,740.67,747.93,4505643
2016-02-03,737.87,746.67,728.2,739.2,3731595
2016-02-04,746.0,766.57,745.47,757.13,5956550
2016-02-05,761.2,768.0,751.03,759.93,4000880
2016-02-08,760.67,771.9,746.93,753.53,2539247
2016-02-09,743.33,751.97,734.93,742.8,2523125
2016-02-10,738.47,753.33,735.33,747.07,3203877
2016-02-11,745.8,750.17,719.33,728.27,4395021
2016-02-12,733.07,735.0,677.37,702.43,6160241
2016-02-15,714.87,769.8,709.7,766.27,5939226
2016-02-16,771.93,771.93,732.87,736.0,3548741
2016-02-17,737.07,755.8,721.43,748.3,3479412
2016-02-18,756.27,783.3,755.33,766.43,5457168
2016-02-19,764.1,779.27,754.27,767.0,3036894
2016-02-22,766.67,778.83,760.13,766.5,2054481
2016-02-23,770.17,770.67,750.07,753.43,2045679
2016-02-24,748.0,753.33,740.0,741.93,1816151
2016-02-25,745.33,746.67,721.33,724.3,2655282
2016-02-26,728.33,745.0,728.2,740.43,2277972
2016-02-29,742.67,749.0,702.03,717.33,5500994
2016-03-01,724.67,752.67,720.67,749.3,3647114
2016-03-02,762.0,767.27,755.47,758.6,3652203
2016-03-03,765.93,807.47,756.3,804.73,5552958
2016-03-04,810.0,815.97,791.33,795.47,3438969
2016-03-08,800.67,808.0,782.13,791.63,3022782
2016-03-09,788.27,813.33,785.33,808.57,3121142
2016-03-10,809.33,814.33,787.5,790.77,2932767
2016-03-11,792.63,801.33,780.87,790.43,2996378
2016-03-14,798.0,804.43,785.13,789.47,2726301
2016-03-15,792.47,798.57,783.7,787.17,2444159
2016-03-16,791.33,794.47,776.6,788.8,2704712
2016-03-17,798.67,803.33,789.63,795.5,3872654
2016-03-18,799.33,802.0,793.4,799.53,2566830
2016-03-21,800.67,821.7,796.23,818.77,3575447
2016-03-22,822.67,830.0,814.67,824.87,2979816
2016-03-23,826.67,832.67,820.2,828.37,2438136
2016-03-28,827.33,830.8,798.7,804.23,3717456
2016-03-29,805.33,810.7,793.33,795.97,2703179
2016-03-30,805.33,821.27,801.0,818.7,2874000
2016-03-31,817.3,820.0,807.67,811.13,4945964
