date,open,high,low,close,volume
2016-01-01,159.93,162.27,158.73,161.67,2771978
2016-01-04,160.67,163.2,157.1,158.7,3125132
2016-01-05,160.0,162.83,159.37,161.23,3646313
2016-01-06,161.33,161.53,156.43,158.37,3007211
2016-01-07,154.0,155.93,149.37,151.07,7609386
2016-01-08,152.0,154.53,150.43,153.43,6898319
2016-01-11,150.67,151.5,148.1,150.33,6413396
2016-01-12,149.33,149.53,146.67,147.57,5543673
2016-01-13,148.67,149.3,145.03,148.8,5384576
2016-01-14,147.3,150.33,144.4,148.83,6523577
2016-01-15,149.6,149.6,145.2,146.3,4512582
2016-01-18,144.67,145.33,140.83,142.93,5734035
2016-01-19,143.73,146.27,141.0,145.33,3797909
2016-01-20,142.73,143.4,139.47,142.2,6518909
2016-01-21,142.43,143.17,137.3,138.2,8879594
2016-01-22,141.3,144.67,139.87,144.17,7253738
2016-01-25,146.93,147.5,144.37,146.43,4864044
2016-01-27,146.47,147.83,144.67,145.6,6744065
2016-01-28,145.33,147.2,143.5,146.6,8761007
2016-01-29,147.53,151.9,147.33,150.83,12759740
2016-02-01,151.87,151.87,147.7,150.03,3822741
2016-02-02,148.13,149.6,143.6,144.37,6900480
2016-02-03,142.47,144.67,140.2,142.03,4843967
2016-02-04,145.27,147.0,144.17,146.67,6016541
2016-02-05,146.87,147.9,145.03,146.63,5710670
2016-02-08,146.67,146.8,141.1,142.7,2764110
2016-02-09,140.6,146.37,140.33,145.43,3651746
2016-02-10,142.57,144.0,140.53,142.33,4066760
2016-02-11,142.53,142.6,133.37,135.43,8787048
2016-02-12,133.33,133.33,125.17,128.83,10102655
2016-02-15,132.4,134.13,129.77,133.57,7157805
2016-02-16,135.77,137.4,132.07,133.3,10491014
2016-02-17,133.33,134.67,131.47,133.57,7290020
2016-02-18,135.77,140.4,135.33,139.4,7799663
2016-02-19,137.97,141.4,137.33,140.77,5419070
2016-02-22,141.33,143.4,140.47,142.93,3601842
2016-02-23,143.8,145.2,141.23,143.07,3593367
2016-02-24,141.87,141.87,138.8,139.6,2618156
2016-02-25,141.6,145.2,139.73,144.17,5778485
2016-02-26,144.93,145.7,142.73,144.03,4205825
2016-02-29,144.83,147.4,128.33,129.4,23809857
2016-03-01,129.27,129.27,125.7,127.67,23118147
2016-03-02,129.6,131.53,128.07,129.97,15524957
2016-03-03,131.0,133.9,129.17,131.47,16866746
2016-03-04,133.27,136.27,132.67,133.8,22523046
2016-03-08,135.17,137.57,134.0,134.57,12258797
2016-03-09,134.67,137.33,134.2,136.83,7688816
2016-03-10,139.3,139.3,136.23,137.13,13467873
2016-03-11,138.4,138.4,134.8,136.73,14262116
2016-03-14,138.33,139.33,137.17,138.83,7498647
2016-03-15,137.33,138.6,136.7,138.27,5504456
2016-03-16,138.2,139.17,136.6,137.67,5188655
2016-03-17,139.03,143.27,139.0,141.5,8394324
2016-03-18,142.5,143.33,141.67,143.07,6776231
2016-03-21,142.67,145.0,142.0,144.43,5801745
2016-03-22,144.43,146.1,143.33,144.07,6610557
2016-03-23,144.27,145.17,141.27,143.07,5978228
2016-03-28,144.33,145.8,141.6,142.63,7205975
2016-03-29,143.97,144.0,140.47,141.5,5003186
2016-03-30,142.0,146.0,141.53,145.27,5849823
2016-03-31,143.13,145.03,141.43,142.73,18261630
2016-04-01,143.0,143.3,138.73,139.2,10266195
2016-04-04,138.97,139.1,136.37,138.2,5494028
2016-04-05,137.33,139.0,136.03,137.0,4906772
2016-04-06,137.8,138.67,136.0,137.4,4317509
2016-04-07,139.37,139.67,137.8,138.5,5045078
2016-04-08,138.53,139.63,137.1,137.43,2418254
2016-04-11,139.07,139.5,136.8,138.4,5192645
2016-04-12,138.57,141.77,138.1,140.9,6343280
2016-04-13,143.33,143.6,141.87,142.23,6437622
2016-04-18,141.17,141.17,137.4,138.37,4950201
2016-04-20,139.27,140.47,138.7,139.9,4820409
2016-04-21,141.43,142.97,141.17,141.97,7037139
2016-04-22,143.93,144.9,141.77,144.07,4497203
2016-04-25,144.3,144.3,141.13,141.53,2813826
2016-04-26,141.47,143.73,140.63,142.87,4140095
2016-04-27,144.0,149.17,143.93,147.87,10536443
2016-04-28,148.2,150.27,143.5,144.57,11597841
2016-04-29,145.37,147.17,143.73,144.83,6088467
2016-05-02,145.33,147.27,144.0,145.17,4911861
2016-05-03,146.03,146.47,142.0,143.53,5806392
2016-05-04,143.2,143.53,140.0,140.43,4247747
2016-05-05,141.3,142.17,140.0,140.33,4590195
2016-05-06,140.37,140.43,138.07,138.97,3327824
2016-05-09,139.93,141.67,139.4,141.07,4008650
2016-05-10,141.3,141.3,137.53,138.6,3924152
2016-05-11,137.97,137.97,135.4,136.83,5481087
2016-05-12,138.73,138.97,136.5,137.53,7061337
2016-05-13,137.3,137.3,134.67,135.83,7262070
2016-05-16,136.27,136.6,133.33,135.07,10092506
2016-05-17,137.07,141.33,136.73,140.17,14657429
2016-05-18,140.2,143.53,139.73,142.83,8832225
2016-05-19,142.0,142.17,139.47,140.03,6740378
2016-05-20,141.2,143.1,140.3,142.07,4576983
2016-05-23,142.8,143.0,138.33,138.77,5845634
2016-05-24,139.0,139.13,136.37,137.77,4087502
2016-05-25,139.13,140.5,138.77,140.1,3108449
2016-05-26,140.67,147.43,140.47,144.03,13519851
2016-05-27,145.33,145.93,141.2,142.0,10044087
2016-05-30,142.67,143.8,142.0,142.3,4589130
2016-05-31,143.33,143.67,139.87,140.5,8791202
2016-06-01,140.93,142.2,140.07,140.43,4521807
2016-06-02,140.33,142.57,139.43,141.87,4079510
2016-06-03,142.53,143.0,140.73,141.23,4345935
